vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
268,4,273,20.623137973137972,34.38018485473275,1634.9771122038921,2710.2047248354656,1756.2689592553957,1712.7553322345439,2.1150160768866416e-32,1.8260842763988775e-43,5.539760213648912e-41,2.2732079702089412e-33,lognorm
268,5,299,14.14977703455964,27.351936628585527,1597.8320131611044,2831.180069455611,1763.167958785829,1699.0333668167295,3.408995352056898e-33,4.291264401757936e-43,3.971566909889841e-43,8.940677293364685e-34,lognorm
268,6,287,15.581104261592065,29.672787797030924,1576.5429895942882,2764.4629619297402,1737.8697128348144,1675.3864322586371,3.42325077188319e-33,3.7451783925986013e-42,1.0718077970077266e-42,1.6248370969557803e-33,lognorm
268,7,286,22.452214452214452,31.119050249228284,1970.2004593069787,2782.065983873456,2027.401342398436,2012.5670302431438,7.231871539534264e-24,1.495596872854409e-29,8.770156858605112e-28,6.912203508805843e-25,lognorm
268,8,285,24.609912280701753,34.36616998328139,1966.712189367852,2828.9263742987146,2027.0548690766298,2011.3297571608773,4.7052267517729986e-26,2.0265403126111673e-31,9.646963391065034e-31,2.4021607820993644e-27,lognorm
268,9,287,30.344773519163766,38.18272623744838,2182.1631409544443,2909.1986866871016,2201.2519119007957,2202.442689448486,8.540958161406535e-21,1.9901524937151719e-25,1.2545488728956427e-24,4.8182232974691984e-23,lognorm
268,10,301,27.4172480620155,36.23649657332969,2184.167318489096,3019.421212744544,2226.7934396213805,2219.24028293044,2.61335024191318e-21,4.3827037757974325e-30,5.2715233465808164e-27,5.238029119941131e-24,lognorm
268,11,304,26.82998903508772,37.55888330541436,2189.823820066871,3071.2678613392013,2242.5286528326924,2228.862996903891,1.2538576797197254e-21,7.749374220367505e-27,2.1949011902425048e-26,1.7205224441824117e-23,lognorm
268,12,319,24.921800900249174,37.05080557172279,2131.4198725840242,3213.9238643685567,2225.5192801291573,2196.1144775897255,1.855587441081383e-27,1.3363743740664864e-39,3.7348748774103624e-35,1.6429502625532493e-29,lognorm
268,13,304,28.094893483709267,39.10004615929546,2164.825582088314,3095.7178058898817,2230.7995930814636,2213.24254574879,5.251039000308298e-25,1.5998371726040685e-32,2.4535791290618076e-30,1.358206765004452e-26,lognorm
268,14,298,25.307321628315755,37.853435298289206,1999.2848564923966,3015.3855208143277,2093.0984818351653,2063.3514910049516,2.7185828353224005e-28,1.186514396694632e-38,1.09958627052234e-34,1.9789121256653177e-29,lognorm
268,15,284,31.938938841381624,40.6033716454056,2175.9341040874688,2913.7445165524064,2203.5456498267,2201.1051723350115,3.737341892908589e-18,1.8601901402573352e-25,2.922618089810931e-21,1.2785025203833134e-19,lognorm
268,16,264,36.55547542735042,42.500165266153424,2115.33305503203,2732.9397508082293,2123.8495051579916,2130.29182326371,1.6112789493277245e-17,2.631983942231804e-26,1.3352568455344414e-20,1.760793790705923e-19,lognorm
268,17,267,30.940387016229714,38.99389146725844,2033.2176378280863,2717.971449303777,2059.5283023181073,2057.57770695051,7.866858668960299e-22,3.811345955421095e-26,1.0986563165002657e-24,4.1717712358290274e-23,lognorm
268,18,221,32.52760180995475,41.89559247113121,1635.0765017843378,2282.1206700371413,1670.1007253313896,1664.2302706956193,2.2825653899080443e-19,6.938453971761123e-27,1.9235526818282867e-22,2.2601044612535057e-20,lognorm
268,19,221,38.8145173453997,42.67221670949716,1796.3980725759075,2290.2390679734544,1791.8661866095308,1803.1233625339082,9.62032171465871e-17,8.057976615917769e-23,1.4764686339800232e-19,6.565244583910654e-19,gamma
268,20,230,35.65347826086956,42.189197322916,1808.8453810354868,2378.1072575790927,1818.916592023289,1823.6873644122395,9.666203755992395e-18,4.1204788909864313e-22,2.6722082020639785e-20,2.6637311166513547e-19,lognorm
268,21,216,36.05302854938272,44.09276394684336,1639.8720535099174,2252.6611827619618,1665.0877355229977,1664.3796272505615,5.2413241754549275e-21,7.11826662167818e-28,1.2998522208308516e-24,1.3938188114096247e-22,lognorm
268,22,224,38.527002164502164,45.099794124149135,1774.0821247405206,2346.0616642430086,1786.7089588311228,1791.1579833469332,2.216026722529204e-18,6.838270156093725e-25,1.3258076204532482e-21,3.1188223370106234e-20,lognorm
268,23,240,33.01114583333333,42.65880628164091,1758.0935823775364,2486.642686580856,1798.2258328665093,1791.4639038349133,4.090557253585975e-21,1.4190873463330374e-30,5.502031968267289e-26,4.7128266011021644e-23,lognorm
745,0,360,0.6570783730158729,0.22082421198797883,-120.97993245028408,-61.84384278340498,-107.38651837284036,-73.16465570011718,6.112750894935584e-20,2.3249282473096938e-21,1.3750017404637627e-20,1.7872495275062944e-19,lognorm
745,1,360,0.6533184523809522,0.2136014528215548,-138.96876085498957,-85.78748272317165,-126.75176085770335,-96.50824658076269,1.4449629871062913e-20,2.371973524445622e-21,5.781030280351427e-21,7.022268020821389e-20,lognorm
745,2,360,0.6575479497354498,0.21815358952502836,-126.0147575294275,-70.60452220681235,-113.36495429603463,-81.78527804651169,4.4613129638811646e-20,1.8352789125105087e-21,1.0691121525198717e-20,7.958513262695974e-20,lognorm
