trace,base,rho_cpu_net,r2_mu,r2_sigma,alpha,gamma
fastStorage,1115.csv,0.07153216996745507,0.3188155952399938,0.5326267247403342,0.0005321421416096,-0.0270813075036481
fastStorage,1122.csv,0.006866856660431686,0.0302759493350746,0.0871797616070694,-0.0285158826285119,-0.0003526909625572
fastStorage,526.csv,0.4745380284857958,0.7377473893235653,0.1614993445221161,0.0617812876287462,-0.2484950702790378
fastStorage,852.csv,0.1699622621632002,0.6996131277623936,0.3667994599572634,0.0160702720600538,-0.0518211517837413
fastStorage,111.csv,0.684293130454981,0.4155540581172146,0.1940410168717682,0.0183672002362149,0.1919434212465054
fastStorage,54.csv,0.08627330694029725,0.0024088962754365,0.0977325718155029,-0.0106990294625153,-0.0084889508272553
fastStorage,1098.csv,0.022451123565185915,0.0571848607291908,0.8088277341619023,36.28962183446908,0.004691376526659
fastStorage,131.csv,0.16737170298022727,0.0013044558616068,0.1433567566029475,-4.591664335179491e-05,-0.2507680799721386
fastStorage,119.csv,0.11181154045823004,0.0247135174562355,0.0058471842884394,-0.0022967688382247,0.011702412067416
fastStorage,1125.csv,-0.021456826441387897,0.0294186117256952,0.0695671216172723,-0.4454745293448663,0.0085409057840464
fastStorage,201.csv,0.5173867862670065,0.4144960983316633,0.0089214385724386,0.0010913942392121,-0.0141059888532671
fastStorage,311.csv,0.11225790399499078,0.2939670883356525,0.0865046036957599,0.0110766241929197,0.0111463658763245
fastStorage,827.csv,0.34063683566403324,0.7585764634372076,0.2058554428283677,0.0012202591747934,0.0114969123573724
fastStorage,26.csv,0.5895003849593087,0.105819178197229,0.075358711162739,0.0013723335837092,-0.0450700133828693
fastStorage,1133.csv,0.1719234959009351,0.4086616075324838,0.3480269762103184,0.0049674386397108,-0.1263199788992998
fastStorage,962.csv,0.3839823066821563,0.0544211434721784,0.3523047534637658,0.0452690717619858,-0.0984155927286076
fastStorage,96.csv,0.5190701768895719,0.1467514212522512,0.8315899460663521,0.0062602369975743,-0.2275470968743021
fastStorage,159.csv,0.11308698187296515,0.5774874444139033,0.7018946648856734,0.1458975728397068,-0.0012298870373477
fastStorage,164.csv,0.4965869740291819,0.2476745568778962,0.4797458228360608,0.0295018869983773,-0.0189486961846516
fastStorage,268.csv,0.6173823371232756,0.0676904427229643,0.0043157825421535,0.0007669647674043,-0.284353166151343
fastStorage,774.csv,0.7907992277207312,0.8364404820001814,0.6870924170102375,0.0365160215557448,-0.3967611152845565
fastStorage,44.csv,0.1928981944266955,0.0374022238136398,0.4088814522851172,0.0406032185242229,-0.0013734062530364
fastStorage,1025.csv,0.628077658250871,0.9047303064877836,0.9845427002587674,0.0002444389843632,-41.99658939411039
fastStorage,809.csv,0.3522705965809387,0.2320389780020977,0.12666867983475,0.0289921883232377,-0.0146406547771223
fastStorage,959.csv,0.5098727321134527,0.1386541650357817,0.4880658785615956,0.0314979068843663,-0.1194698002536475
rnd,193.csv,0.4105274115768063,0.4634473368249373,0.0166953305390081,0.0951596514138443,-0.1568857082587733
rnd,203.csv,0.08782489376479809,0.0282148026523717,0.3008795057555319,0.0071430018059415,-0.1688354624780359
rnd,396.csv,0.5661403036762833,0.3685607863799881,0.2455641297486396,0.0741129866891065,-0.0731505799803085
rnd,260.csv,0.19487174208534555,0.0374509719768373,0.0333847452619301,-0.1066678776951115,-0.4820516135859373
rnd,307.csv,-0.0035136552859926133,0.0366146084627652,0.2271579565001737,0.1242580343953072,-0.0027345958337663
rnd,22.csv,0.7663097971048471,0.3157255457852279,0.6426972365245613,0.0002009207314485,-0.8204768203924997
rnd,1.csv,0.8905009975202626,0.5243292408206786,8.520413661838866e-06,0.0069548792721588,-0.0019520699651791
rnd,156.csv,0.19037568641090657,0.2981978534272848,0.0125758202209586,0.0322100962706008,-0.0716177170427149
rnd,329.csv,0.6142786014496824,0.6712660567797982,0.6495546663098567,0.0449434025769401,-0.1284787933269489
