vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
m_2147,7,2392,56.14548494983278,9.871824268944959,17756.47865114012,17746.053385219187,17727.35543526047,17915.022743168513,4.796867768715549e-05,4.643199892218989e-05,0.003380625690014673,2.460171795548983e-12,gamma
m_2147,8,2825,50.92070796460177,10.50593154979008,21352.800492007496,21309.463753094227,21302.14622391128,21414.73680281068,5.142911878445813e-12,0.0023227223187980836,1.748504938737935e-08,6.542812285420963e-05,gamma
m_2147,9,2755,51.02758620689655,10.96961491313104,21150.006820862833,21019.513044859574,21067.585228788714,21046.9124608556,3.252812263012509e-14,1.0975239997354153e-05,2.7505762863785096e-11,9.057638332953731e-05,norm
m_2147,10,2288,49.84440559440559,10.977062233405285,17347.299750987033,17460.279422663705,17356.18258405802,17579.504567392218,1.4021927881301746e-05,1.5098309725252599e-15,1.6180993600883226e-08,7.226392568914866e-17,lognorm
m_2147,11,2574,49.46076146076146,11.54164677583699,19843.656554991736,19900.50770012309,19824.130311740097,19987.162003083373,5.815547992538863e-07,5.34620754494458e-09,8.694477140709987e-06,7.028179137862047e-10,gamma
m_2147,12,2715,48.330755064456724,12.507780001730222,21456.36205597154,21426.92135534106,21395.31502804224,21452.66928286451,3.782932668063537e-18,5.3295380601490255e-12,1.6575128130599438e-12,6.972410968909081e-10,gamma
m_2147,13,2529,42.759588770264926,11.652505046222569,19344.036617531616,19601.01724114345,19376.477061577403,19699.398736406016,5.917879336802213e-05,4.661684819929398e-18,6.11425240133074e-08,8.240071912043579e-18,lognorm
m_2147,14,2513,39.20374054914445,10.069667485994117,18301.49895667596,18743.27121735334,18402.091939588274,18948.33320179062,8.442863138890684e-07,1.353523118291134e-21,1.0213208458378084e-10,4.343820276972182e-22,lognorm
m_2147,15,2394,38.95697577276525,11.248736464912723,17880.941617561642,18386.06250622774,18000.755110867598,18489.489680183935,8.95484512128001e-16,7.814031378501471e-33,1.607929827856246e-20,2.4149250365441608e-27,lognorm
m_2147,16,2283,36.65703022339028,9.87349803755252,16448.908136946822,16938.34762783115,16550.088161892825,17175.46335562715,0.00018635195843430956,4.399783036007522e-18,3.5719051164762186e-08,7.364410903299941e-24,lognorm
