trace,vm,n_bins,gamma,r2_sigma,rho_cpu_net,rho_lam_sigma,rho_lam_sb,rho_lam_sw,med_frac_between,frac_between_hi,frac_between_lo,bimodal_share,bimodal_hi,bimodal_lo,rho_lam_frac90,max_frac90,max_p95,rho_lam_skew,med_skew_hi,mean_io,mean_net,mean_sigma
fastStorage,451.csv,24,-1.3743720245234514,0.8611749385747357,,0.8791304347826084,0.8278260869565216,0.8530434782608695,0.4876063039320635,0.35484323582109845,0.8104854699193513,0.4583333333333333,0.0,0.875,,0.0,3.668333333333334,0.6513043478260869,5.884883893554116,10.96960577578175,4.5242479099402235,0.1398790933011095
fastStorage,923.csv,24,-9.88629445023644,0.8423351011220164,0.7355133182492625,0.9530434782608694,0.9260869565217391,0.2417391304347826,0.7069444487589316,0.6886264309330753,0.704318449386532,0.5833333333333334,1.0,0.125,,0.0,29.73333333333332,-0.0008695652173913043,0.24917867111167694,2.963576742470812,870.390202198622,1.5376737228746515
fastStorage,456.csv,24,-1.2328615106058185,0.8484279307960113,0.514343688459396,0.8243478260869566,0.6295652173913043,0.9026086956521738,0.5839735712607231,0.4239819852623826,0.9405525544851883,0.5416666666666666,0.125,1.0,,0.0,3.9508333333333336,0.7652173913043477,5.106018027197202,11.068174660725814,4.444823203932393,0.14497492646983084
fastStorage,452.csv,24,-1.38799270836485,0.8795866652715486,0.6496348364377439,0.8782608695652172,0.7573913043478261,0.8921739130434782,0.45026465833111584,0.36827071168486564,0.8082777918598474,0.4583333333333333,0.0,1.0,,0.0,3.85,0.6608695652173912,5.961271425396044,10.932658560881473,4.475576145264706,0.13792499714046494
fastStorage,426.csv,24,-1.3962349593921897,0.867077906017561,,0.837391304347826,0.7330434782608695,0.8678260869565216,0.4853781733228365,0.40630884162566816,0.8327240922467938,0.375,0.0,0.875,,0.0,3.0508333333333333,0.6782608695652173,5.793833508295756,11.193281820311972,4.54373959853358,0.1710064163028
fastStorage,865.csv,24,-0.2461235963259942,0.540762616593619,0.2874632024940167,0.7469565217391304,0.6469565217391303,0.7678260869565217,0.331037222987838,0.345555028309511,0.7007902861914856,0.9166666666666666,1.0,0.75,,0.0,44.44666666666666,0.5634782608695652,1.3784917264316108,3078.9064641742566,32.7589679215748,0.48635688794091925
fastStorage,399.csv,24,-0.4340039511778609,0.7591573175204921,,0.7052173913043478,-0.8852173913043477,0.9330434782608694,0.9406460371412267,0.45006022201853746,0.9538833273836775,0.9583333333333334,0.875,1.0,,0.0,1.8166666666666669,0.7565217391304346,2.467860090246498,10.430985207195604,3.894036919778974,0.20513630563899432
fastStorage,875.csv,24,-2.9199058295053573,0.8191211282325999,,0.3408695652173913,-0.07391304347826086,0.3652173913043478,0.17755764799631496,0.12206087570381724,0.19524344318891493,0.5416666666666666,0.75,0.5,,0.0,25.368333333333332,-0.05565217391304347,0.6442316674864992,337.37046878897286,9.097182239044713,0.10904589333738379
fastStorage,430.csv,24,-1.3928286969048342,0.8134608518662182,,0.877391304347826,0.7260869565217389,0.8469565217391304,0.43922293366563464,0.3422919752034105,0.8130919123306564,0.4583333333333333,0.0,0.75,,0.0,3.1175,0.7130434782608696,5.753616689011219,10.984780448904525,4.541550118111043,0.1574285301747197
fastStorage,425.csv,24,-1.3581284211826488,0.800310842648401,,0.8495652173913043,0.7539130434782607,0.8478260869565216,0.5085539173496676,0.3511036132907398,0.8230924537003883,0.4583333333333333,0.0,1.0,,0.0,3.8558333333333383,0.697391304347826,5.51180864289484,11.367142402345303,4.520351090376761,0.15613428618672687
fastStorage,393.csv,24,-0.7030544631830421,0.7790185760257378,0.5979099340286551,0.7947826086956521,0.03739130434782608,0.7869565217391304,0.7928880124626745,0.2895376304267478,0.8811949724611128,0.5,0.125,0.625,,0.0,1.7350000000000005,0.7460869565217391,4.7866652085670065,10.259952336540337,3.862617785108451,0.1388635604667406
rnd,122.csv,24,-0.8333593492140493,0.642865490783765,0.4201283595683292,0.5434782608695652,0.4513043478260869,0.7165217391304347,0.8527169047318283,0.4388031455150442,0.8953578693973274,0.16666666666666666,0.0,0.25,,0.0,3.1791666666666663,0.5078260869565216,5.655892521299158,11.021198039863114,3.948947097144677,0.1468644910451813
rnd,294.csv,24,-0.5322854220492989,0.939855100926486,0.1319991455796831,0.5356521739130434,0.3391304347826086,0.5947826086956521,0.11116731093028437,0.08849741018975125,0.14646476129875136,0.9583333333333334,0.875,1.0,,0.0,10.136666666666667,-0.33739130434782605,2.894591177083457,3.418679807357046,0.9677136743504992,0.0947352305665464
rnd,119.csv,24,-1.0209871427668835,0.7917204485560584,,0.8165217391304346,0.7417391304347827,0.8269565217391304,0.7611042300863264,0.4878726875153684,0.9328863453265002,0.3333333333333333,0.0,0.75,,0.0,3.2183333333333337,0.8139130434782607,5.496088886589712,11.847673974228263,4.229893690898812,0.15741112915476035
rnd,393.csv,24,-1.5579634978299155,0.9529428536096712,,0.5791304347826086,0.4452173913043478,0.6043478260869565,0.20529719168473332,0.17460056471439195,0.22803061749998332,0.7916666666666666,0.5,0.875,,0.0,13.131666666666666,0.3417391304347826,1.6341115784473788,26.71021470993057,2.7580842423307423,0.09312048239142065
rnd,22.csv,24,-0.8204768203924997,0.6426972365245613,0.7663097971048471,0.8147826086956521,0.608695652173913,0.7095652173913043,0.7588253060558248,0.6428359764718135,0.8648661576248138,0.9166666666666666,0.875,1.0,,0.0,6.653333333333334,0.26086956521739124,2.442660370460163,18.99611527724781,81.94213092113925,0.3678333708370538
rnd,440.csv,24,-19.04528880550214,0.9720737507897976,0.4657137368976923,0.9695652173913042,0.9695652173913042,0.5017391304347826,0.9650406538753498,0.9636593985911972,0.9673306220333315,1.0,1.0,1.0,,0.0,18.146666666666665,-0.7008695652173912,1.843920257388449,0.2440066547710947,822.5443063872095,0.9391144534123845
rnd,302.csv,24,-0.0234917596048215,0.6386780835198491,,0.2969922255900616,0.3179255983188765,0.33057284434253553,0.106297296737967,0.14794234569137704,0.14426510540808338,1.0,1.0,1.0,,0.0,2.8,-0.24727546535912612,3.2900650732041914,0.5316471882770982,0.04754156955127939,0.10556400723596693
rnd,296.csv,24,-0.2514291790769675,0.7989424019437799,0.18711480185309,0.6217391304347826,0.35739130434782607,0.5599999999999999,0.2058245884021664,0.14985043111594737,0.19468169912741284,1.0,1.0,1.0,,0.0,4.354166666666667,0.4756521739130434,2.1915060531731267,4.102378455939914,1.1638098584444625,0.16674490004573486
rnd,358.csv,24,-0.0177082088640687,0.5956646853541607,-0.3097992872455587,0.8393302777738538,0.8393302777738538,0.42670405677456186,0.2759099996955574,0.9889100904736299,0.2152707176119087,0.5,0.125,0.7857142857142857,,0.0,4.0,-0.06019488400460258,-4.362099502667866,2.866756379513872,0.02908865104140261,0.1196454103530698
rnd,102.csv,24,-0.9764163499457694,0.8691746863219667,,0.9513043478260867,0.6278260869565216,0.8904347826086956,0.4337723799573126,0.23385813696786065,0.6070912679582678,0.20833333333333334,0.0,0.625,,0.0,1.8766666666666652,0.22347826086956518,4.321133074952281,9.940701266309514,4.546187908883912,0.2678641437703435
rnd,115.csv,24,-1.0811879060698026,0.7759481034387872,0.4350643492235821,0.6756521739130433,0.4913043478260869,0.7773913043478261,0.7240391764039174,0.41663862402722823,0.9160364593800101,0.5,0.0,0.875,,0.0,3.355000000000005,0.6747826086956521,5.663273860509527,12.09357751611673,4.240324355885474,0.1535422941362668
rnd,118.csv,24,-1.0607939048200608,0.7034464082353564,,0.6426086956521738,0.46347826086956523,0.8104347826086956,0.7164504538463989,0.4127182747294367,0.9066689390599934,0.041666666666666664,0.0,0.0,,0.0,4.19666666666667,0.6704347826086956,5.962907426931318,12.059186580093234,4.209502935098294,0.13963002625227341
rnd,466.csv,24,-0.7393647077281441,0.6168575908054688,,0.9417391304347826,0.9017391304347826,0.5008695652173912,0.3822549365062875,0.5455756285619385,0.26082445332253557,0.625,0.125,1.0,,0.0,1.7333333333333334,0.9043478260869565,0.32448379127820765,1.160098168878126,37.79589514145181,0.5082022986122459
rnd,117.csv,24,-1.023571500783699,0.6781978215949478,0.1906928934925252,0.6921739130434782,0.5104347826086956,0.7834782608695651,0.7343488147793501,0.45680287455729485,0.9040132861461062,0.16666666666666666,0.0,0.375,,0.0,3.2633333333333363,0.9252173913043478,5.463004390859007,12.317163412363529,4.218921270897527,0.16803093240311673
rnd,406.csv,24,-1.501852316565592,0.5474295948911755,0.5786144134655616,0.6643478260869564,0.6826086956521739,0.4991304347826086,0.0682644194599813,0.04703733263409509,0.0661610926026903,0.8333333333333334,1.0,0.5,,0.0,7.540000000000002,-0.7547826086956521,1.6359828168734702,27.85749065633119,3.125465466429226,0.1947684010822172
rnd,181.csv,24,-0.1317236130597165,0.6958803874413735,0.6290282381625512,0.8156521739130433,0.5721739130434782,0.9026086956521738,0.7927486641160761,0.6556532919090469,0.8863235336125002,0.4166666666666667,1.0,0.0,,0.0,8.6,-0.05304347826086955,1.8714827649759478,43.91517976342731,6.852953774648445,0.5925720649808841
rnd,275.csv,24,-15.50792819824668,0.7022553112608332,0.6588848750929418,0.7852173913043478,0.8565217391304346,0.5530434782608695,0.8963393436941134,0.8912894775368976,0.9515139790115577,1.0,1.0,1.0,,0.0,34.13333333333333,-0.21826086956521737,1.2805012844097874,875.0202659018587,56.29266744241746,0.6770237214300272
rnd,116.csv,24,-1.0549400952515382,0.7666578874031197,,0.6713043478260868,0.47043478260869553,0.7478260869565216,0.6997827098848843,0.41630085240144354,0.9025541493189337,0.20833333333333334,0.0,0.125,,0.0,3.601666666666667,0.8113043478260868,5.899041229089369,12.593943245159565,4.217172225684178,0.1439763202762281
rnd,315.csv,24,-0.2666660933535063,0.5042149423568318,,0.20434782608695648,-0.01652173913043478,0.23217391304347823,0.14649494283415565,0.12222259557897591,0.09661398109540248,0.9583333333333334,1.0,1.0,,0.0,9.335,-0.21043478260869564,1.2006014825972864,22.147872875425396,1.2874012766229217,0.12497760192610624
rnd,191.csv,24,-0.2136823652156814,0.5775833305899885,0.5319067434606107,-0.3205044650674097,-0.32920200821713586,-0.20743640412096936,0.6399947991498293,0.5820063737808129,0.6348120702466575,0.5833333333333334,0.625,0.875,,0.0,1.223333333333333,-0.18917156350654435,-1.5644314326169706,1.0815659959135944,0.27719114455816923,0.35655304029800095
rnd,402.csv,24,-0.0068990087423471,0.6369262639707791,0.2014863467306502,0.4922388095215082,0.3121396001206408,0.562627988397858,0.5005833623866855,0.4296060523777354,0.5073526577476835,0.6666666666666666,0.75,0.7142857142857143,,0.0,16.24,0.4655394658097892,0.9109501241373599,5.424209587650712,0.25045488959980533,0.23016083017908673
rnd,283.csv,24,-0.0008630044333999,0.5054298524529621,,0.8723896210703825,0.37587929565156764,0.8776344484515671,0.2476307232574554,0.19893266077496163,0.28169961316195213,0.25,0.0,0.75,,0.0,2.0,0.8068292788055742,3.967568648691211,7.1860237782782646,0.014468549874180675,0.19898647568687317
