hour,n,lam,io,sigma,sig_between,sig_within,frac_between,bimodal,gmm_sep,skew,frac90,p95,trace,vm
4,360,0.7431084656084657,714.3158068783068,0.22407651859862376,0.1107213411143411,0.19481034574457565,0.2441574487831562,True,0.42171954262480016,4.28484876389544,0.0,4.633333333333333,fastStorage,879.csv
5,360,0.6069444444444444,659.139537037037,0.09721430720710074,0.06595024926968744,0.07142258849287564,0.46022744291262047,True,0.13262777214026578,1.1469429978313934,0.0,4.101666666666667,fastStorage,879.csv
6,360,0.6096428571428572,661.1629894179895,0.08454256675777189,0.05701446029630172,0.06242432948069007,0.4547986606027267,True,0.12664726090302114,0.8826957940173215,0.0,3.9683333333333337,fastStorage,879.csv
7,360,0.6682010582010582,673.5607010582011,0.10756531859221577,0.080469777944477,0.07137865648365378,0.559655878750836,True,0.17475391175938437,1.5586017890885293,0.0,4.2683333333333335,fastStorage,879.csv
8,360,0.6085978835978837,670.774417989418,0.12320823100072345,0.07977368461158361,0.09389583286716839,0.4192179399201995,True,0.24698682987012122,1.471324208948816,0.0,4.6,fastStorage,879.csv
9,359,0.6375911924658444,659.7285714285715,0.08231127089654815,0.05318468339535698,0.06282145150138267,0.4174981370409624,True,0.11882549219355232,0.7055996309642901,0.0,3.966666666666667,fastStorage,879.csv
10,359,0.5811911394084096,660.969213423531,0.11319945774845118,0.07336461968934177,0.08620759718482839,0.4200341953835377,True,0.13877714242977168,2.764536459031174,0.0,4.266666666666667,fastStorage,879.csv
11,360,0.5944444444444444,658.1618518518518,0.10690673873893432,0.07993666524209429,0.070987184320609,0.5590902139353932,True,0.13657611986519402,1.3236439586204896,0.0,4.3,fastStorage,879.csv
12,359,0.5970287836583101,659.3884865366759,0.12090295995437068,0.06877631650299401,0.09943512464923125,0.32359660591494366,True,0.22321760826641812,1.9093076787670307,0.0,4.309999999999996,fastStorage,879.csv
13,360,0.5994444444444444,655.34,0.09225434268340162,0.07005342712730658,0.060028169151371304,0.5766139371895582,True,0.12906830309255612,1.1114885314459206,0.0,4.033333333333333,fastStorage,879.csv
14,360,0.6544963369963369,657.5701190476191,0.0992410574302185,0.07673283118076323,0.06293536445316265,0.5978327172813022,True,0.1604009181235595,1.1156074781507945,0.0,4.136666666666667,fastStorage,879.csv
15,359,0.5953176813901048,658.5877835256666,0.1068791572801965,0.06595287925634785,0.08410334106753778,0.38078644329278094,True,0.14344918831305553,1.9384258937858023,0.0,4.0699999999999985,fastStorage,879.csv
16,360,0.5886712361712362,661.7221933621934,0.10906237592960095,0.0702972324492604,0.08338405694966065,0.41545744490500786,True,0.15819379412989543,1.3754969899547094,0.0,4.203333333333334,fastStorage,879.csv
17,360,0.5819113756613756,656.9740476190476,0.11099978090960232,0.08102107607060577,0.07587184322488046,0.532784731858898,True,0.16833834789957147,1.2830934799048819,0.0,4.201666666666667,fastStorage,879.csv
18,360,0.5862698412698413,656.7673015873016,0.11282979769918616,0.08598754912124547,0.07305275248038694,0.5807958736274098,True,0.17293449483047385,1.3065619880770827,0.0,4.2683333333333335,fastStorage,879.csv
19,360,0.5897619047619048,659.7386772486773,0.09067786541027976,0.06326323875577601,0.06496335811435933,0.4867436196325626,True,0.10470995074656253,0.6986896578031468,0.0,4.001666666666667,fastStorage,879.csv
