vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
2013-8/27,20,360,3.6423007605820104,1.1977436873288871,870.7704990737772,1155.552202861989,962.1204631646868,1171.4317416904805,1.5142294765052127e-44,2.4480791590538622e-51,1.4459989057841128e-47,2.2320716082185063e-46,lognorm
2013-8/27,21,358,3.648222599095504,1.2044729654549549,869.1588170108803,1153.166132086242,960.2903831369467,1167.9917319254157,9.196373872399936e-43,5.823796339078512e-50,5.6393349083266365e-46,6.867250929815547e-46,lognorm
2013-8/27,22,359,4.255181390104789,1.6649989818426627,1222.65609080805,1388.8518664040469,1272.1323338068462,1360.7187363410812,1.0286040474222962e-31,1.3701510178706348e-34,5.37459454431207e-33,1.698522444694705e-29,lognorm
2013-8/27,23,360,3.9798309358465613,1.5393651158704618,1120.7376548585867,1336.2221935875402,1187.097140937542,1310.633721726383,8.605328772906077e-37,1.459761861860093e-42,2.536631686685125e-39,6.96010275581418e-36,lognorm
2013-7/27,0,348,3.4508744697591682,0.6007477397700467,500.0216713143675,636.9134230735933,544.3884778188431,749.7583168854608,3.1339578796647588e-40,1.1959080575762814e-44,6.180671858590776e-42,1.8448088055286897e-42,lognorm
2013-7/27,1,348,3.7985435481663927,0.8724137050732211,815.6581739304056,896.5831106410287,840.4686986908848,928.8369084163719,2.375542470833721e-31,2.1897929167393315e-33,4.1332626341301775e-32,9.521382920448813e-31,lognorm
2013-7/27,2,348,3.2693627702517793,0.12864750647359646,-462.6058346345022,-435.6914502830156,-453.7955530011127,-239.2936502186614,5.836142552602719e-18,2.0103420029870273e-19,1.8911417099220622e-18,6.022394379862529e-25,lognorm
2013-7/27,3,348,3.2737411056376575,0.1755519964067339,-274.57126822658256,-219.3335037677759,-256.5132701241539,33.873972957480895,8.52778876339672e-27,1.8070939798544858e-29,1.0514367873791947e-27,1.2488944542150233e-34,lognorm
2013-7/27,4,348,3.227354867952928,0.07001850685231537,-859.212683231545,-859.0797799264835,-859.2343426224072,-783.3000067345129,0.03759318922919519,0.05474194151702616,0.042748779738134735,0.0010731800441265726,gamma
2013-7/27,5,347,3.230145292987512,0.07241076866532013,-863.2907064648838,-833.2844329686436,-853.8921050334736,-349.87231131830197,0.00016935582971049702,2.6888723238679077e-05,9.646809035740523e-05,4.771897269544502e-25,lognorm
2013-7/27,6,348,3.2329151272578,0.0744318178618032,-853.439223036602,-816.5375322043645,-841.7119342228385,-324.6178368354366,0.0001117790722726935,1.0896004152277088e-05,5.4122472884310765e-05,1.7637341129221153e-30,lognorm
2013-7/27,7,348,3.2286663587848925,0.05058567649383498,-1082.4764640928151,-1085.3432048296393,-1083.4642413384734,-1072.9127621225323,0.0006185244626176746,0.0009463501687746599,0.0007142134321302544,0.008066109596174884,norm
2013-7/27,8,347,3.2305153869905308,0.047876078661086396,-1116.994640619832,-1120.4193328189135,-1118.1615056517853,-1139.2606828053094,0.001721335247753085,0.0026723022123719903,0.0019961861354760575,0.15843818727544678,weibull_min
2013-7/27,9,348,3.2305901922550624,0.048629713201665106,-1111.0117563735748,-1112.7890851815428,-1111.6316935007376,-1090.542759033222,0.05312061274806834,0.06929209116420987,0.058131603440251256,0.022037650836810516,norm
2013-7/27,10,348,3.2331789648330593,0.0550306375888587,-1038.9902994031265,-1026.724961323301,-1035.1095981590288,-636.7414423485839,0.002024443111942587,0.0024050559094100144,0.0021557978650958067,1.18671326533924e-17,lognorm
2013-7/27,11,348,3.2340337643678163,0.05591044779496603,-1024.235938606499,-1015.68557516601,-1021.5168947881675,-718.0682320939454,0.009614290426643394,0.010451271671921745,0.009924875386115455,1.698779124995025e-11,lognorm
2013-7/27,12,339,3.2740816828206207,0.34317768827571765,-0.7852225628932104,240.9146308148143,77.75251063688498,582.9928292017137,8.290384352902005e-40,9.184605581330521e-48,1.7543605122053783e-42,1.040029181629018e-61,lognorm
2013-7/27,13,336,3.2487231611394556,0.14544737616166242,-431.4046607550128,-338.04961310325365,-401.0605725886171,84.37404130143459,2.747591732086613e-21,9.181049606471894e-26,9.039574413489634e-23,2.479531284730824e-44,lognorm
2013-7/27,14,336,3.2261608028628115,0.04900848538693264,-1067.4063021368388,-1069.065251886214,-1067.9827349797736,-1052.5690121967502,0.174385572719305,0.21138185075144433,0.18603346644691954,0.6121807849785768,norm
2013-7/27,15,336,3.239052756519275,0.11942593816617567,-555.4592069057801,-470.51286232378567,-528.0567387247961,11.038068830871993,1.2507756257008455e-14,2.3034612479921088e-18,7.797797693962414e-16,6.3510287065202514e-46,lognorm
2013-7/27,16,336,3.247934382086168,0.1683194709397239,-365.51634030096255,-239.9043887264481,-325.7210227486475,234.0364634362528,1.399860767108065e-15,2.1162167873244273e-21,1.9973437370720777e-17,2.9842468803571407e-49,lognorm
2013-7/27,17,336,3.23433558319161,0.07316062083324727,-798.0578761456554,-799.8191412105014,-798.6945379604193,-778.4669076555815,0.024082176443423586,0.03908864075513607,0.028388111776194158,0.12698264470974951,norm
2013-7/27,18,336,3.2244561366213147,0.05410377932744899,-1000.9882421516352,-1002.597337213424,-1001.5558773024479,-972.9232335920644,0.09106554681270573,0.12201513019194687,0.10053294925902667,0.20729942198344975,norm
2013-7/27,19,340,3.2311839110644254,0.049699600155981724,-1069.7387118971574,-1072.3175033437915,-1070.6219685848553,-1079.0922768790094,0.008600455307694932,0.012612820348857117,0.00978537106181112,0.26662964469854167,weibull_min
2013-7/27,20,348,3.231987205801861,0.05098271624076527,-1078.5328458604615,-1079.9017271412508,-1079.0127863720693,-1066.9960365299878,0.21028768978429158,0.2631704158491064,0.22687345765805067,0.19689828106914464,norm
