vm,n_bins,lam_min,lam_max,alpha_mu,beta_mu,r2_mu,gammaA,deltaA,r2A,alpha_sig,sigma_eps,r2B
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/167.csv,24,0.1650462962962963,0.28018779342723,0.17630892951885457,0.7667905582998339,0.1784590260764649,-0.0557065767639676,0.27479313926327836,0.20494702831167189,0.293300009150407,0.06965862058026509,0.19267072589400358
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/652.csv,24,9.536130536130537,24.52125984251968,0.10615312107222945,-0.15359930431557378,0.572177649223211,1.7402374650436707,1.929650823352609,0.35488571579200634,1.6600124601588213e-11,2.4007275102018726,1.1102230246251565e-16
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/50.csv,24,0.005158730158730153,0.6892436974789916,0.04444938579941873,1.8185320854573441,0.04368653709946679,-0.028705740993057918,0.5084500087682152,0.5749716656512553,0.5873654096446783,0.2439334811043934,0.14163341770210258
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/27.csv,24,0.17626666666666665,53.38471673254283,0.00020232683180984197,-1.4054460471779477,0.0013633209874939212,-0.020234678607582546,0.8379332113473884,0.08990575965723502,0.03746625777077794,0.7963624047515446,0.04381519845277537
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/494.csv,24,2.657022132796781,3.97005291005291,0.033965626915097774,0.39102489939782037,0.5791022752180455,-0.24028942342714307,0.2040172116825736,0.06102707020771869,0.03976505029123679,2.749550323662844e-08,0.053591675471721834
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/574.csv,24,0.19296296296296298,0.3789096697174692,0.33358599941719963,0.731451184355056,0.19416744973596833,-0.11169540544529391,0.5582612504550389,0.2962948164393939,0.5148327901490107,0.20557938974981507,0.28882235354336117
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1177.csv,24,0.5418319169027384,2.7415079365079364,0.002377828843883784,-0.0993941446889301,0.07583409758892579,0.0024154626163351285,0.12474295818524411,0.003118640337359979,4.701496760774139e-11,0.12754166295854413,0.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/507.csv,24,2.807417840375587,4.1359941191645095,0.04894968215252988,0.2769491727368665,0.5033781182040614,-0.0032505340021528628,0.17213706290704509,1.5301565114200777e-05,0.0010968651246821396,0.1703946056822026,-1.2439956842413835e-08
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/987.csv,24,0.802962962962963,4.493518518518518,0.04891136446866705,1.474500955394037,0.82917285110584,-0.2668476400942517,0.39473889895778963,0.5647237411546132,0.1280649314945592,2.6458319151256133e-08,0.7169274897039413
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/360.csv,24,7.701058201058201,9.27144187283852,0.008901354678033163,2.207263289273144,0.043098266339922864,0.3543676274424098,0.28987411089837584,0.008369263037719121,3.914728710391464e-07,0.4146504553536371,-4.503064587879635e-13
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/72.csv,24,0.07687687687687686,2.3327777777777774,0.0024015781181299834,1.632112767672346,0.009217235036065308,-0.013216709501693865,0.16404256846988652,0.18455027505794874,0.07632044147886247,0.11757781772020393,0.28051936219438367
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1228.csv,24,108.90840960339567,128.83256613756615,0.005004122229913848,1.4789483291594319,0.28180031696786023,6.985580242964808,0.12118534286547784,0.11313380522248229,2.0732203812992915e-11,0.7513577495053253,0.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1143.csv,24,0.1126984126984127,17.229047619047623,0.00384082837287618,-1.1072385515288652,0.08364360484205624,0.0022751521446422412,0.3734154829477313,0.0005611798387273881,0.055791843076757365,0.3612911607607987,0.06909086388107244
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/891.csv,24,3.089219576719577,93.08824074074074,0.002390920472480246,0.6943281561387517,0.9389241574089618,-0.27186375905215365,0.22401133503839765,0.4616863093097393,0.02580910714641933,0.07762685720315819,0.8333672087332517
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/413.csv,24,2.632580037664783,6.046709470304976,0.022573073736626932,0.47732592502575116,0.9093057006872386,-0.8404500501702044,0.584963583448374,0.8706738024025718,0.07815126699328266,1.353825004516592e-14,0.5366165894592503
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/54.csv,24,0.013518518518518513,0.7609259259259259,-0.010699029462515391,-0.6914125548516383,0.0024088962754365006,-0.008488950827255344,0.3719602488318553,0.09773257181550299,0.21154819138913422,0.30827564717508593,0.05993027608637924
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/227.csv,24,71.51868715613736,687.1559689922481,0.0019411008023299241,0.40631175980575845,0.39931557949257235,-1.5829476641499973,2.6399205361953118,0.038586865358346434,0.024395564069226806,2.5008409000427987,0.014091377648848935
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/293.csv,24,0.08215773809523809,241.1886154565132,0.004093584318747853,-0.43700106170440045,0.7009385554700533,-0.1544441266826908,1.679309569259181,0.14553944831000065,0.10889697789767355,1.3598504594392289,0.7035062487093197
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/406.csv,24,2.6343393695506374,6.07328264639189,0.018999654508782764,0.32031833227747464,0.7334892307521422,-0.6843496714029594,0.5607977329597028,0.8030843016192164,0.1062549953761304,5.3908350765123625e-11,0.7214498829198985
