method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
lognorm,2.9,0.813162184189079,0.9850837591626455,0.5571095948498423,3.1269618838010365
gauss,2.9,0.7359413202933985,0.9751674363115387,0.23625329440082438,2.8702980454167255
lognorm,3.0,0.8231458842705787,0.9861845211516055,0.6172041036753774,3.2129236613861387
gauss,3.0,0.7524449877750611,0.9767027949891782,0.25499537312428616,2.9250054476148213
lognorm,3.1,0.8339445802770986,0.9871339511134748,0.6734975474724776,3.306805312598409
gauss,3.1,0.7656886715566422,0.9780055948327993,0.27579836556222925,2.966282446688381
lognorm,3.2,0.8445395273023635,0.9880693686055875,0.7333426886480208,3.401406705487447
gauss,3.2,0.7736348818255909,0.9788073050611288,0.2959346270631479,2.995749352482246
lognorm,3.3,0.8526894865525673,0.9888984882238583,0.803798471905289,3.5034566135506635
gauss,3.3,0.7832110839445803,0.9795928234783685,0.31616138885768597,3.0384205048890895
lognorm,3.4,0.8604319478402608,0.9895161433202404,0.8671629985420163,3.628149030193369
gauss,3.4,0.7927872860635696,0.9805323872302536,0.336422456726362,3.075920094058903
lognorm,3.5,0.8663406682966586,0.9901402608939248,0.9294466000768474,3.767192644639077
gauss,3.5,0.8027709861450693,0.9813415400272515,0.35734100375277095,3.111546384700613
lognorm,3.6,0.8722493887530562,0.9905708017490298,0.995762157472883,3.8904852438258812
gauss,3.6,0.8088834555827221,0.9819085087070453,0.3802298254776387,3.1417169044548183
lognorm,3.7,0.8773431132844336,0.9910140795719345,1.0845865813407642,4.037986326798439
gauss,3.7,0.8137734311328443,0.9824060537551552,0.40190902452922544,3.1884623090176545
lognorm,3.8,0.8836593317033414,0.9914501816629332,1.1608651891174049,4.15448413818818
gauss,3.8,0.8219233903830481,0.982927148617392,0.4247007181293403,3.2307850280471686
lognorm,3.9,0.8887530562347188,0.9917399807314947,1.2295447945830018,4.268479098291186
gauss,3.9,0.8264058679706602,0.9833118382901372,0.4446657575849663,3.2693110345159297
lognorm,4.0,0.8940505297473512,0.9920835903507619,1.323149840582212,4.407863556843417
gauss,4.0,0.8317033414832926,0.9837050235158028,0.46678620272524507,3.3108267027978284
lognorm,4.1,0.8973105134474327,0.9922987692095121,1.4102270764277742,4.554368572112322
gauss,4.1,0.8359820700896495,0.9840686057076311,0.488134190290785,3.3616231514381933
lognorm,4.2,0.9030154849225754,0.992624122001288,1.5120391357079201,4.738379718532741
gauss,4.2,0.8431132844335778,0.9845253142781528,0.5093025297519399,3.400657665976958
lognorm,4.3,0.9070904645476773,0.9929221176538703,1.6135877378569938,4.892754600701116
gauss,4.3,0.8482070089649552,0.9849298329353715,0.5334446633079385,3.4450577552239396
lognorm,4.4,0.9095354523227384,0.9931725764430271,1.7181604484731343,5.039917466639197
gauss,4.4,0.8528932355338223,0.9853526389547494,0.5559994970066335,3.485457484571593
lognorm,4.5,0.912999185004075,0.9934048057318985,1.8417552782164988,5.198266808152713
gauss,4.5,0.8571719641401793,0.9856437983121611,0.575937388479848,3.522343606698994
lognorm,4.6,0.9168704156479217,0.9936207325370142,1.9536450837991617,5.392973836957068
gauss,4.6,0.8600244498777506,0.9859372167253408,0.5975113227582829,3.5608466426826357
lognorm,4.7,0.9213528932355338,0.9938592393387001,2.0722369312310267,5.592037792096045
gauss,4.7,0.8632844335778321,0.9862373790889731,0.6194914238640329,3.5896985825799232
lognorm,4.8,0.9256316218418907,0.9941301325512315,2.2102211372093503,5.823531097719364
gauss,4.8,0.8669519152404238,0.9865996572515283,0.6431992327337056,3.6236799289270207
lognorm,4.9,0.9288916055419723,0.9943686254516116,2.341512006976081,6.012822334101097
gauss,4.9,0.8698044009779952,0.9869316569391593,0.6635461286751358,3.6725631713862836
lognorm,5.0,0.9315403422982885,0.9946165091033414,2.4835412389948215,6.217965731087084
gauss,5.0,0.8730643846780766,0.9872224282288085,0.6843848930897651,3.7118099385591528
rolling_max,0.6,0.27159739201303995,0.6215740592284055,-0.28051657908531774,2.4
rolling_max,0.65,0.2980847595762021,0.6601375888302636,-0.2205596273424275,2.6
rolling_max,0.7,0.328239608801956,0.7228904387181023,-0.1606026755995373,2.8
rolling_max,0.75,0.3640994295028525,0.7645748946319195,-0.10064572385664713,3.0
rolling_max,0.8,0.41299918500407495,0.8101783382087497,-0.04068877211375686,3.2
rolling_max,0.85,0.4578239608801956,0.8452947030107455,0.019268179629133214,3.4
rolling_max,0.9,0.545639771801141,0.8854854255688096,0.0792251313720235,3.6
rolling_max,0.95,0.6393643031784841,0.9243064688460125,0.13918208311491367,3.8
