vm,n_bins,alpha_mu,r2B,r2C,r2P,aiccB,aiccC,aiccP,alpha_B,alpha_C,c_C,c_P,lam_min,lam_max,lam_gmean
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/51.csv,24,0.0026435152913131,0.5468565878726789,0.5468565878725009,0.43790589819732106,-56.95832094776732,-54.329749519186464,-51.787266107046975,0.08056595961988204,0.08056602218733412,8.653071586024229e-11,0.0035889997817839647,0.03198653198653197,513.6887999999999,15.884447359965193
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/112.csv,24,0.0199182367257006,0.7191108594560709,0.7430421045524574,0.6985745691521277,-160.50932819145717,-160.0179047626588,-158.81582616301333,0.1385124984576221,0.12145774481047429,0.030802971305458265,0.050969054240464454,2.57060618119114,7.369241452991454,4.158626526025009
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/291.csv,24,0.0190222699865458,0.9562191308134053,0.9654267414633059,0.9490504327272848,-154.03630220110057,-157.07452525635094,-150.39695849586857,0.19763368889557917,0.1434519137879241,0.030365570130657837,0.04287581153002784,0.005555555555555551,22.502592592592592,0.11158629548436097
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/390.csv,24,0.1324389803342159,0.7830297584705417,0.7830297584705085,0.7082448872018758,-135.15974170830006,-132.531170279725,-128.0520316137692,0.40366451745504744,0.4036645374758484,9.359436211289501e-10,0.14901156344883804,0.003525641025641022,6.206207827260459,0.03184528311565373
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/103.csv,24,0.012494093352243,0.7125364648064674,0.9279656624590137,0.9278849547497636,-168.74991323294455,-199.3362162634579,-201.93791299875076,0.0805869290802941,0.005824617593949837,0.03590872529025168,0.03557410340278762,2.5823053455365437,7.66380291005291,4.5200719023954425
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/297.csv,24,0.0175069695642159,0.5843679917546482,0.5843679917546482,0.5590743214410177,-184.9050522903508,-182.2764808617794,-183.4872268818434,0.10328279649971968,0.1032827966899376,5.856381692293873e-10,0.043856840813908775,0.03334656084656082,5.41792328042328,0.08536397760579173
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/486.csv,24,1.9142909986645555,0.5432435193584825,0.5432435193600706,0.5192448931215934,-95.85834304286261,-93.22977161437464,-94.62936008149401,2.1977449288194615,2.1977468424826196,1.8527912927848722e-11,0.9759137483544421,0.08689138576779025,0.5057692307692307,0.18871479616465192
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/269.csv,24,0.008616626897839,0.7779558269368939,0.7779558269368906,0.5954976658953584,-202.5775607128748,-199.94898928430302,-188.18281270519762,0.05702603143115701,0.05702603857551603,1.7803686957038457e-13,0.01245356491681911,1.7569040986868285,19.126230831315574,3.438019623782033
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/329.csv,24,0.0449434025769401,0.8110938911505239,0.8110938911505562,0.5715250958400002,-110.77621763494453,-108.14764620637722,-91.12064827770776,0.2859747796900203,0.28597477057643594,3.3903603708344537e-14,0.0770504989882447,0.06129541864139017,13.263781717066388,0.9574016348858883
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/105.csv,24,0.0194336255052424,0.7668323987685749,0.7668323987685746,0.7332982624519907,-192.86573044155227,-190.23715901298084,-189.6407680594518,0.10631515751363842,0.10631515649079905,1.185885432247844e-08,0.03108772889223541,2.5723544973544974,9.646956168831167,4.543139216131817
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/83.csv,24,0.0048723284454267,0.7879406395296741,0.7884275842462167,0.7276095390679487,-149.88738551336192,-147.3139878418121,-143.87849789671805,0.07219497777483651,0.06930539498436925,0.0038114153463469865,0.013002781218213862,0.22314814814814812,37.71240740740741,2.6772393207607186
