m,lam,ncont,mu,sig,meancpu,dec
m_3276,11200.0,21,3.6454699924413965,0.33160594604759625,40.41124288882461,5
m_3284,9200.0,14,3.5509533578331673,0.32825089030046567,36.76189562547966,1
m_3295,9200.0,16,3.8253373325003004,0.24008562828382385,47.17546278062229,1
m_3297,11600.0,23,3.7662754008542074,0.2583725561109786,44.66023856858847,5
m_3309,13600.0,33,3.6984075233415985,0.28142483095684184,41.988586740770145,8
m_3319,4800.0,10,3.4638721394403134,0.40902751777184754,34.75494978479197,0
m_3323,10000.0,21,3.77728325438315,0.28128003158983683,45.45005773672055,3
m_3329,4000.0,6,3.352424504096029,0.3915490560162521,30.788601853677775,0
m_3333,3600.0,9,3.3893399204440073,0.42099984144734537,32.26879953605258,0
m_3334,12800.0,32,3.828649619709116,0.2569396160792041,47.520194502332046,7
m_3336,4000.0,9,1.5335606644393796,0.19366664959979807,4.720991509710159,0
m_3338,10400.0,25,3.8043063682931493,0.2587781840673848,46.38226506024096,4
m_3340,9600.0,24,3.7642459976954723,0.26997738293791557,44.723161580790396,2
m_3341,12400.0,30,3.666631210241536,0.28938631188600283,40.76835774565913,6
m_3347,9200.0,12,3.5674469396280077,0.3500731805834763,37.69680598995356,1
m_3349,12100.0,29,3.5886026679292184,0.3591738996546295,38.54031184635863,6
m_3354,10000.0,22,3.697527811131436,0.31476787143950313,42.43110557100393,3
m_3356,9200.0,14,3.651347202026538,0.30045379383428567,40.27647000886437,1
m_3361,4800.0,12,3.434420744145775,0.39821832826296305,33.530712294530424,0
m_3363,12800.0,29,3.686370882357983,0.3046932888194006,41.73811402643519,7
m_3366,11200.0,17,3.4706894889871402,0.36676866748778186,34.383712905452036,5
m_3368,1600.0,4,3.3176831103683733,0.436748662458629,30.254865343031256,0
m_3378,3600.0,9,3.469919634737813,0.41751750234240553,35.12058993637941,0
m_3390,10000.0,17,3.61456793480415,0.3477339410087204,39.478808265257086,3
m_3392,9200.0,17,3.6428020684030824,0.31204164471414786,40.091656757827984,1
m_3408,8000.0,20,3.557228795880009,0.39611590198735463,38.00049583498612,1
m_3421,10800.0,12,3.3782429773408675,0.38122079216350346,31.542090200335537,5
m_3427,11200.0,18,3.6472481441135036,0.4268262787666514,41.93678725914275,5
m_3447,10000.0,15,3.589931515432202,0.37580928585099477,38.87965964343598,3
m_3448,4400.0,8,3.3394550603901174,0.4007208284945487,30.492155324573446,0
m_3465,12000.0,26,3.6135043346726974,0.31099911307762457,38.891999205876516,6
m_3483,11600.0,23,3.692562244918497,0.3491328907814589,42.69285432293723,5
