method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
empirical,0.99206,0.3259297520661157,0.9632110907626046,0.011353541133711707,65.4879150390625
empirical,0.99319,0.33798209366391185,0.9640199495402932,0.017062592744724634,66.0
empirical,0.99416,0.3755165289256198,0.9663215370887326,0.025059683788531704,67.0
empirical,0.99499,0.38016528925619836,0.9665188615193099,0.03124237060546875,67.9970703125
empirical,0.9957,0.41356749311294766,0.9685842911188328,0.04104514655350794,68.27294921875
empirical,0.99632,0.43095730027548207,0.969329111822178,0.047538109688987126,68.79571533203125
empirical,0.99684,0.4652203856749311,0.9710590300588647,0.053964706569985414,69.21435546875
empirical,0.99729,0.4757231404958678,0.9714572694343099,0.060803417675577204,69.75341796875
empirical,0.99768,0.4896694214876033,0.9719449327501776,0.06779928768382353,70.220703125
empirical,0.99801,0.4965564738292011,0.9721468005728615,0.07225120368981211,70.615966796875
empirical,0.99829,0.4981060606060606,0.9721738171178622,0.07645592322716346,70.951416015625
empirical,0.99853,0.5428719008264463,0.9739897863221315,0.08611121544471154,71.31390380859375
empirical,0.99874,0.5588842975206612,0.9745266719665467,0.09503657729409054,71.981201171875
empirical,0.99892,0.5816115702479339,0.9752133860793514,0.10179619666768391,72.412353515625
empirical,0.99908,0.5905647382920111,0.9754804587556339,0.109286378924318,72.8978271484375
empirical,0.99921,0.6057162534435262,0.9761603472046199,0.1134100757729512,73.107177734375
empirical,0.99932,0.6096763085399449,0.9762566868649666,0.1177918481045082,73.555908203125
empirical,0.99942,0.6157024793388429,0.976403462928233,0.12193940004816908,73.662109375
empirical,0.9995,0.6246556473829201,0.9766933745523501,0.125,74.00250244140625
